id,ns_name,country_name,ns_go_id
1,Afghan Red Crescent Society,Afghanistan,14
2,Albanian Red Cross,Albania,15
3,Algerian Red Crescent,Algeria,16
4,American Red Cross,American Samoa,320
5,Andorran Red Cross,Andorra,17
6,Angola Red Cross,Angola,18
7,British Red Cross,Anguilla,217
8,Antigua and Barbuda Red Cross,Antigua and Barbuda,19
9,Argentine Red Cross,Argentina,20
10,Armenian Red Cross Society,Armenia,21
11,Australian Red Cross,Ashmore and Cartier Islands,344
12,Australian Red Cross,Australia,22
13,Austrian Red Cross,Austria,23
14,Red Crescent Society of Azerbaijan,Azerbaijan,200
15,The Bahamas Red Cross Society,Bahamas,25
16,Bahrain Red Crescent Society,Bahrain,26
17,Bangladesh Red Crescent Society,Bangladesh,27
18,The Barbados Red Cross Society,Barbados,28
19,French Red Cross,Bassas da India,345
20,Belarus Red Cross,Belarus,29
21,Belgian Red Cross,Belgium,30
22,Belize Red Cross Society,Belize,31
23,Benelux ERU,Benelux,313
24,Red Cross of Benin,Benin,209
25,Bhutan Red Cross Society,Bhutan,234
26,British Red Cross,Bird Island,347
27,Bolivian Red Cross,Bolivia,33
28,The Red Cross Society of Bosnia and Herzegovina,Bosnia and Herzegovina,197
29,Botswana Red Cross Society,Botswana,34
30,Norwegian Red Cross,Bouvet Island,321
31,Brazilian Red Cross,Brazil,35
32,British Red Cross,British Indian Ocean Territory,322
33,British Red Cross,British Virgin Islands,323
34,Brunei Darussalam Red Crescent Society,Brunei Darussalam,36
35,Bulgarian Red Cross,Bulgaria,37
36,Burkinabe Red Cross Society,Burkina Faso,181
37,Burundi Red Cross,Burundi,39
38,Red Cross of Cape Verde,Cabo Verde,43
39,Cambodian Red Cross,Cambodia,40
40,Cameroon Red Cross Society,Cameroon,41
41,The Canadian Red Cross Society,Canada,42
42,British Red Cross,Cayman Islands,324
43,Central African Red Cross Society,Central African Republic,44
44,Red Cross of Chad,Chad,45
45,Chilean Red Cross,Chile,46
46,Red Cross Society of China,China,47
47,Australian Red Cross,Christmas Island,325
48,French Red Cross,Clipperton Island,348
49,Australian Red Cross,Cocos (Keeling) Islands,326
50,Colombian Red Cross Society,Colombia,48
51,The Comoros Red Crescent,Comoros,186
52,Congolese Red Cross,Congo,184
53,Cook Islands Red Cross Society,Cook Islands,211
54,Costa Rican Red Cross,Costa Rica,51
55,Red Cross Society of Côte d'Ivoire,Côte d'Ivoire,182
56,Croatian Red Cross,Croatia,53
57,Cuban Red Cross,Cuba,54
58,Cyprus Red Cross Society,Cyprus,228
59,Czech Red Cross,Czech Republic,55
60,Red Cross Society of the Democratic People's Republic of Korea,Democratic People's Republic of Korea,193
61,Red Cross of the Democratic Republic of the Congo,Democratic Republic of Congo,187
62,Danish Red Cross,Denmark,56
63,Djibouti Red Crescent Society,Djibouti,57
64,Dominica Red Cross Society,Dominica,58
65,Dominican Red Cross,Dominican Republic,59
66,Ecuadorian Red Cross,Ecuador,60
67,Egyptian Red Crescent Society,Egypt,61
68,Salvadorean Red Cross Society,El Salvador,62
69,Red Cross of Equatorial Guinea,Equatorial Guinea,63
70,Red Cross Society of Eritrea,Eritrea,188
71,Estonian Red Cross,Estonia,64
72,Baphalali Eswatini Red Cross Society,"Eswatini, Kingdom of",163
73,Ethiopia Red Cross,Ethiopia,65
74,French Red Cross,Europa Island,349
75,British Red Cross,Falkland Islands (Malvinas),327
76,Danish Red Cross,Faroe Islands,328
77,The Fiji Red Cross Society,Fiji,66
78,Finnish Red Cross,Finland,67
79,French Red Cross,France,68
80,Gabonese Red Cross Society,Gabon,69
81,The Gambia Red Cross Society,"Gambia, Republic of The",70
82,Georgia Red Cross Society,Georgia,71
83,German Red Cross,Germany,72
84,Ghana Red Cross Society,Ghana,73
